"","V_Remv","S_V1","S_V2","S_V3","S_V4","S_V5","S_V6","DRt"
"48",47,0.122415731784508,0.125776625506887,0.102365404940736,0.176580117422983,0.0609550209896128,0.335201560212229,0.514879891763836
"49",48,0.117065659101208,0.120349001285663,0.0975197633565938,0.170184219180885,0.0574326192676174,0.327496120503628,0.502056467069938
"50",49,0.111949406673681,0.115155594706772,0.0929034985074486,0.164019986399883,0.0541137662228216,0.319967809448799,0.489464523560082
"51",50,0.107056755591786,0.110186298603294,0.0885057524530992,0.158079027938683,0.0509866994081058,0.312612555306069,0.477108180679444
"52",51,0.102377933553924,0.105431441961719,0.0843161812325209,0.152353256591031,0.0480403360917092,0.305426379932847,0.46499067446243
"53",52,0.097903595348408,0.100881771100668,0.0803249305337822,0.146834878076907,0.0452642339785869,0.298405396634026,0.453114427171186
"54",53,0.0936248041878695,0.096528431661807,0.0765226125156667,0.141516380432457,0.0426485542015567,0.29154580805983,0.44148111354486
"55",54,0.0895330138594287,0.092362951377907,0.0729002837264845,0.136390523784238,0.0401840264510736,0.28484390415199,0.430091723624852
"56",55,0.0856200516549786,0.08837722358451,0.0694494240681327,0.131450330493842,0.0378619161200462,0.278296060137135,0.418946622158714
"57",56,0.0818781020474852,0.0845634914431148,0.0661619167559298,0.1266890756595,0.0356739933472524,0.271898734566305,0.408045604616211
"58",57,0.0782996910806999,0.080914332845178,0.0630300292270844,0.122100277961724,0.0336125038496402,0.265648467399532,0.397387949876181
"59",58,0.0748776714411072,0.0774226459675504,0.0600463949528949,0.117677690840523,0.0316701414401395,0.259541878134454,0.386972469663036
"60",59,0.0716052081822885,0.0740816354512384,0.0572039961118994,0.113415293992196,0.029840022133584,0.253575663977945,0.376797554827667
"61",60,0.0684757650731916,0.0708847991765919,0.054496147083222,0.109307285174113,0.028115659748972,0.247746598059775,0.366861218579762
"62",61,0.0654830915430356,0.0678259156091804,0.0519164787212898,0.105348072306342,0.0264909429215971,0.242051527687334,0.357161136787704
"63",62,0.0626212101967789,0.0648990316917315,0.0494589233749326,0.101532265859354,0.0249601134435756,0.236487372640476,0.347694685468661
"64",63,0.0598844048762115,0.0620984512585671,0.0471177006156299,0.0978546715174582,0.0235177458560091,0.231051123505559,0.338458975595702
"65",64,0.0572672092428276,0.0594187239499897,0.0448873036413352,0.094310283107973,0.0221587282204517,0.225739840047781,0.329450885351095
"66",65,0.0547643958596733,0.0568546346050459,0.0427624863238987,0.0908942757865082,0.0208782440015348,0.220550649620934,0.320667089955695
"67",66,0.0523709657503631,0.0544011931120214,0.0407382508696223,0.0876019994690839,0.0196717549965391,0.215480745613713,0.312104089203726
"68",67,0.0500821384144101,0.0520536246969176,0.0388098360639235,0.0844289725021439,0.0185349852514136,0.210527385931736,0.303758232830683
"69",68,0.0478933422789275,0.0498073606310079,0.0369727060724584,0.0813708755618465,0.0174639059062376,0.205687891514469,0.295625743839515
"70",69,0.0458002055676305,0.0476580293393896,0.0352225397723622,0.0784235457743296,0.0164547209164174,0.20095964488623,0.287702739907113
"71",70,0.0437985475688999,0.045601447893228,0.0335552205885141,0.0755829710489454,0.0155038535990093,0.196340088740512,0.279985252989349
"72",71,0.041884370285468,0.043633613869134,0.0319668268109199,0.0728452846167494,0.0146079339564909,0.191826724556844,0.272469247238809
"73",72,0.0400538504490472,0.0417506975598338,0.0304536223704378,0.0702067597668121,0.0137637867330504,0.18741711124945,0.265150635344903
"74",73,0.0383033318839524,0.0399490345209701,0.029012048051151,0.0676638047731856,0.0129684201610672,0.183108863846966,0.258025293401392
"75",74,0.0366293182044651,0.0382251184395304,0.0276387131187177,0.06521295800562,0.0122190153578978,0.178899652202516,0.251089074401616
"76",75,0.0350284658313519,0.0365755943100235,0.0263303873450076,0.0628508832173752,0.0115129163353894,0.17478719973343,0.244337820456848
"77",76,0.0334975773135907,0.0349972519051235,0.0250839934102655,0.0605743650037114,0.0108476205867114,0.170769282189943,0.237767373828384
"78",77,0.032033594941965,0.033487019528074,0.0238965996649323,0.0583803044248787,0.0102207702171463,0.166843726452187,0.231373586859162
"79",78,0.0306335946417699,0.0320419580346947,0.0227654132340962,0.0562657147876446,0.00963014358740353,0.163008409354852,0.225152330885969
"80",79,0.0292947801324327,0.0306592551133555,0.0216877734483582,0.0542277175796201,0.00907364743984065,0.159261256538846,0.219099504208695
"81",80,0.0280144773423819,0.0293362198117857,0.0206611455856573,0.0522635385508473,0.00854930947968605,0.155600241329373,0.213211039188562
